Event name,Organizer type,Attendees,Oppotunities,Attendance,Start,End,Website,Sponsorship site,Sponsor download,LinkedIn,Attendee list,Venue,City,State of province,Country,Low price non-members,High price non-memebers,Early bird deadline,Sponsorship contact email,Sponsorship contact name,Files and media,Latest sponsor list,Sponsors & Exhibitors,Peek URL,Notes
American Academy of Matrimonial Lawyers Annual Meeting,['Practice Assn'],['Law firms'],"['Attend (member)', 'Sponsor', 'Exhibit']",500-1000 people,11/08/2023,11/11/2023,https://aaml.org/event/2023-annual-meeting/,https://aaml.org/sponsorship-opportunities/,,https://www.linkedin.com/company/american-academy-of-matrimonial-lawyers/,,Loews Chicago Hotel,Chicago,IL,USA,,,,Tom@aaml.org,,,,,,
Legal Innovators,['Promoter'],"['In-House', 'Law firms', 'Operators']","['Attend (non-member)', 'Sponsor', 'Exhibit']",500-1000 people,11/08/2023,11/09/2023,https://www.legalinnovators.co.uk/,https://www.legalinnovators.co.uk/sponsors,,https://www.linkedin.com/showcase/legal-innovators-uk/,,"America Square Conference Centre, London",London,England,UK,$385.00,"$3,845.00",,,,,https://www.legalinnovators.co.uk/sponsors,Disco Robin AI Opus2 Document Drafter Litera Henchman Lawrify Artificial Lawyer Law.com International Play It Green,,
National Asian Pacific American Bar Association Convention,"['Bar Assn', 'Affinity']","['Government', 'In-House', 'Law firms']","['Attend (member)', 'Attend (non-member)', 'Sponsor', 'Exhibit']",1000-5000 people,11/09/2023,11/12/2023,https://www.napaba.org/page/2023_Convention,https://www.napaba.org/page/_sponsorship_opportunities,,https://www.linkedin.com/company/napaba/,,JW Marriott Indianapolis,Indianapolis,IN,USA,$745.00,"$1,120.00",08/22/2023,,,,https://www.napaba.org/page/2023_Convention,"Constangy Brooks, Smith & Prophete LLP David Polk Debevoise & Plimptom DLA Piper Groombridge WU Baughman & Stone Jenner & Block Jones Day Littler Mintz Ogletree Deakins Paul Weiss Ropes & Gray Walmart Akin Amazon CompTIA",,
Institute for Law and Technology Annual Conference On Intellectual Property Law,['Practice Assn'],"['Law firms', 'In-House']","['Attend (non-member)', 'Sponsor', 'Exhibit']",1000-5000 people,11/09/2023,11/10/2023,https://www.cailaw.org/Institute-for-Law-and-Technology/Events/2023/intellectual-property-law.html,https://www.cailaw.org/Institute-for-Law-and-Technology/sponsorship-opportunities.html,,https://www.linkedin.com/company/institute-for-law-and-technology/,,The Center for American and International Law,Plano,TX,USA,$675.00,$735.00,10/19/2023,vadams@cailaw.org,Vickie Adams,,,,,
New York City Bar Association Annual Small Law Firm Symposium,['Bar Assn'],['Law firms'],"['Attend (member)', 'Attend (non-member)', 'Sponsor', 'Exhibit']",1000-5000 people,11/09/2023,11/09/2023,https://services.nycbar.org/EventDetail?EventKey=SYMP110923&WebsiteKey=f71e12f3-524e-4f8c-a5f7-0d16ce7b3314,https://services.nycbar.org/EventDetail?EventKey=SYMP110923&WebsiteKey=f71e12f3-524e-4f8c-a5f7-0d16ce7b3314,,https://www.linkedin.com/company/new-york-city-bar/,,New York City Bar Association,New York,NY,USA,$199.00,$249.00,09/30/2023,ybalashchenko@nycbar.org,Yelena Balashchenko,,https://services.nycbar.org/EventDetail?EventKey=SYMP110923&WebsiteKey=f71e12f3-524e-4f8c-a5f7-0d16ce7b3314,LexisNexis PCLAW LawPay Lockton ABA Retirement Bridgeline Briefcatch Capital One CACTIC titleClio Mazzanti Fastcase Good2BSocial Innovate Online Marketing LawClerk MyCase MYLS SideBar Advisors Thomas Reuters,,
Ohio Association for Justice Winter Convention,['Practice Assn'],['Law firms'],"['Attend (member)', 'Sponsor', 'Exhibit']",500-1000 people,11/09/2023,11/10/2023,https://www.oajustice.org/?pg=events&showfullpage=1&evAction=showDetail&eid=268145&evSubAction=listAll,https://www.oajustice.org/?pg=FriendsofOAJProgram,https://s3.amazonaws.com/membercentralcdn/sitedocuments/oh/oh/0516/1650516.pdf?AWSAccessKeyId=AKIAIHKD6NT2OL2HNPMQ&Expires=1689870722&Signature=7Qyg9Tt199kDI6oYgFTX%2BFWNhdM%3D&response-content-disposition=inline%3B%20filename%3D%22OhioTrial%5FMediaKit%5F2020%2Epdf%22%3B%20filename%2A%3DUTF%2D8%27%27OhioTrial%255FMediaKit%255F2020%252Epdf&response-content-type=application%2Fpdf,https://www.linkedin.com/company/ohio-association-for-justice/,,Hilton Cleveland Downtown,Cleveland,OK,USA,,,,mcoughlin@oajustice.org,Mike Coughlin,,https://www.oajustice.org/?pg=events&showfullpage=1&evAction=showDetail&eid=268145&evSubAction=listAll,"Crisp FindLaw Ringler The Experts Robson Forensic Physician Life Care Planning IWP The Patien Advocate Pharmacy The Ohio Reporting Company Key Evidence Beacon The Verity Group W&A Mental Health Professionals Ray Forensic Consultants, LLC Crash Tech Reconstruction Services LLC MediVisuals Medivest CW Settlements Grow Path Filevine Level ESQ D'Angelo Visuals Opentext GAVL Video Ohio Bar Liability Insurance Co. Preferred Capital Funding NFP Structured Settlements",,
The Business of Law,['Practice Assn'],"['Law firms', 'Operators', 'Marketers']","['Attend (non-member)', 'Sponsor', 'Exhibit']",500-1000 people,11/09/2023,11/11/2023,https://www.ntlevents.com/event/fb3c0f19-6b60-4180-a74a-bf4f64b96052/summary,https://www.ntlevents.com/event/fb3c0f19-6b60-4180-a74a-bf4f64b96052/websitePage:7647292a-8ec6-49da-9d3b-1d86bc881882,,https://www.linkedin.com/company/the-national-trial-lawyers/,,JW Marriott Scottsdale,Scottsdale,AZ,USA,,,,tgoins@associationsmgt.com,Trevor Goins,,https://www.ntlevents.com/event/fb3c0f19-6b60-4180-a74a-bf4f64b96052/websitePage:09e0452f-a459-41ea-a31a-3b4c856652e3,Consumer Attorney Marketing Group PILMMA Preferred Capital Funding Trulaw TSEG ChartSquad Filevine Frost Law Milestone Morgan & Morgan Spear Consulting Walker Advertising Consultwebs EvenUp LawRank Forman Law Offices Massive Mockingbird Alert Communications American Law Firm Capital BlueShark Digital Case Status Get Staffed Up HMR Law Tigers Motorcylce Lawyers Lexamica Martindale Avvo,,
Canadian Bar Association Access to Information and Privacy Law Symposium,"['Bar Assn', 'Affinity']","['Government', 'In-House', 'Law firms']","['Attend (member)', 'Attend (non-member)', 'Sponsor']",500-1000 people,11/09/2023,11/10/2023,https://www.cbapd.org/details_en.aspx?id=na_na23pri01a&_gl=1*1x9tlwn*_ga*odczoda3odgwlje2odg3nzqzntu.*_ga_ytmhkdebk2*mty5mtc3oty4ny40ljaumty5mtc3oty4ny42mc4wlja.&_ga=2.100114718.1800005893.1691779688-2063764861.1688772628,https://cba.org/CBAMediaLibrary/cba_na/pd/WLF/2023/2023CBAWomenLawyersForumConfSponsorshipOpps.pdf?_ga=2.110723589.1845146952.1690568471-323038783.1690568471&_gl=1*r2omvh*_ga*MzIzMDM4NzgzLjE2OTA1Njg0NzE.*_ga_YTMHKDEBK2*MTY5MDU3NDE0Ny4yLjEuMTY5MDU3NTY5MS42MC4wLjA.,https://cba.org/CBAMediaLibrary/cba_na/pd/WLF/2023/2023CBAWomenLawyersForumConfSponsorshipOpps.pdf?_ga=2.110723589.1845146952.1690568471-323038783.1690568471&_gl=1*r2omvh*_ga*MzIzMDM4NzgzLjE2OTA1Njg0NzE.*_ga_YTMHKDEBK2*MTY5MDU3NDE0Ny4yLjEuMTY5MDU3NTY5MS42MC4wLjA.,https://www.linkedin.com/showcase/cba-wlf/?originalSubdomain=ca,,Westin Ottowa,Ottowa,ON,Canada,,,,pd@cba.org,,,,,,
Masters Conference - Atlanta,['Promoter'],"['Law firms', 'In-House']","['Attend (non-member)', 'Sponsor', 'Exhibit']",100-500 people,11/09/2023,11/09/2023,https://themastersconference.com/event/atlanta/,https://themastersconference.com/sponsors/become-a-sponsor/,https://themastersconference.com/wp-content/uploads/2022/11/2023-The-Masters-Conference-Sponsorship-Brochure.pdf,,,"King & Spalding, Atlanta",Atlanta,GA,USA,$185.00,$580.00,11/09/2023,Marla.Mohr@themastersconference.com,Marla Mohr,,https://themastersconference.com/event/atlanta/,Cloudnine Haystack Alvarez & Marsal ACEDS eDiscovery Today eDiscovery Assistant King & Spalding,,
NetDocuments Inspire Confere,['Promoter'],['Law firms'],['Attend (non-member)'],500-1000 people,11/09/2023,11/09/2023,https://www.netdocuments.com/emea-inspire,,,https://www.linkedin.com/company/netdocuments/,,Convene,London,,England,,,,,,,,,,
Consero General Counsel Forum,['Promoter'],['In-House'],['Sponsor'],100-500 people,11/12/2023,11/14/2023,https://consero.com/events/general-counsel-forum-6/,https://consero.com/partners/,,https://www.linkedin.com/company/consero-group/,https://consero.com/events/general-counsel-forum-6/,The Biltmore Miami,Coral Gables,FL,USA,,,,,,,,Barnes & Thornburg Bradley Charles River Associates ContractPodAi Diligent DocJuris Evisort LegalBillReview.com LegalOn Technologies Level access Lexion LinkSquares LotNetwork Luminance Onit SimpleLegal OGC Pramata PWC Thomson Reuters Transcend Xakia,,
Law Firm Libraries Annual Conference,['Promoter'],"['Law firms', 'Operators']","['Attend (non-member)', 'Sponsor']",100-500 people,11/13/2023,11/14/2023,https://www.lawfirmlibraries.com/,https://www.lawfirmlibraries.com/sponsor/,,https://www.linkedin.com/company/ark-group-usa/,,Harvard Club of New York City,New York,NY,USA,"$1,895.00","$2,195.00",09/22/2023,,,,,Lexis Nexis,,
American Lawyer Industry Awards,['Promoter'],"['In-House', 'Law firms', 'Operators']","['Attend (non-member)', 'Sponsor']",100-500 people,11/15/2023,11/15/2023,https://www.event.law.com/americanlawyer-IndustryAwards,https://www.event.law.com/americanlawyer-industryawards/sponsor-info,,,,Ciprani,New York,NY,USA,,,,asutton@alm.com,Andre Sutton,,https://www.event.law.com/americanlawyer-industryawards/sponsor-info,fulcrumGT,,
Legal ESG: New York,['Promoter'],"['In-House', 'Law firms']","['Attend (non-member)', 'Sponsor']",100-500 people,11/15/2023,11/17/2023,https://www.legalesg.com/legal-esg-new-york,,,https://www.linkedin.com/company/legalesg/,,Clifford Chance,New York,NY,USA,"$1,295.00","$1,495.00",09/15/2023,contact@legalesg.com,,,,Clifford Chance InsidePractice Amity Advisory ESGi Group Globe Law Online,,
Corporate IP Strategy Conference,['Promoter'],"['In-House', 'Law firms']","['Attend (non-member)', 'Sponsor', 'Exhibit']",100-500 people,11/15/2023,11/16/2023,https://www.unifiedpatents.com/cipsc-2023,https://www.unifiedpatents.com/cipsc-2023-sponsorships,,https://www.linkedin.com/company/unified-patents/,,Santa Clara University Locatelli Center,Santa Clara,CA,USA,,,,shawn@unifiedpatents.com,Shawn Ambwani,,https://www.unifiedpatents.com/cipsc-2023,"Haynes Boone Farella Braun + Martel HGF Akin Dennemeyer The IP Group Ropes & Gray Young Basile 2SPL Lee & Hayes Lincoln IP, Inc.",,
ILTACON Europe,['Promoter'],"['In-House', 'Law firms', 'Operators']","['Attend (non-member)', 'Sponsor', 'Exhibit']",100-500 people,11/15/2023,11/16/2023,https://europe.iltacon.org/home,https://higherlogicdownload.s3.amazonaws.com/ILTANET/1125a762-f6e9-4e1e-be3d-f7bcaafdb1bd/UploadedFiles/9qaQ5DC6SWdkNfncTp5U_IE23sp.pdf,https://higherlogicdownload.s3.amazonaws.com/ILTANET/1125a762-f6e9-4e1e-be3d-f7bcaafdb1bd/UploadedFiles/9qaQ5DC6SWdkNfncTp5U_IE23sp.pdf,https://www.linkedin.com/groups/8370093/,,"One Bishops Square, London E1 6AD, United Kingdom",London,,UK,,,,,,,https://europe.iltacon.org/home,Arctic Wolf Digicorp Egress FileTrail Litera Net Documents NQ Zebra Works Peppermint Technology Pexip Pinnacle Rbro Solutions,,
Utah Association for Justice Annual Conference,['Practice Assn'],"['Law firms', 'In-House', 'Operators']","['Attend (non-member)', 'Sponsor', 'Exhibit']",100-500 people,11/16/2023,11/17/2023,https://www.utaj.org/?pg=events&evAction=showDetail&eid=260693,https://www.utaj.org/?pg=AnnualSponsorsContract,,https://www.linkedin.com/in/utah-association-for-justice-uaj-171797259/,,Salt Lake Marriott Downtown,Salt Lake City,UT,USA,"$1,200.00",,,,,,,40 St Chiropractic Case Status Amicus Settlement Planners Physician Life Care Planning Steno Case Status Medivest MiCare Network Advocate Capital Preferred Capital Funding Ringler US Claims Blue SHark Digital Houlihan Valuation Advisors,,
Criminal Lawyers’ Association of Canada Annual Fall Conference,['Practice Assn'],['Law firms'],"['Attend (member)', 'Attend (non-member)', 'Sponsor', 'Exhibit']",500-1000 people,11/17/2023,11/18/2023,https://criminallawyers.ca/events/51st-annual-fall-conference/,https://members.criminallawyers.ca/event-5343535,,https://www.linkedin.com/company/canadian-bar-association/,,Toronto Marriott,Toronto,ON,Canada,$735.00,,,,,,,Accounting for Law LEAP Brauti Thorning Greenspan Humphrey Weinstein Sandbert Barristers York,,
Trust and Estate Conference | USC Gould Institute of Law,['Promoter'],"['Law firms', 'In-House']","['Attend (non-member)', 'Sponsor']",500-1000 people,11/17/2023,11/17/2023,https://gould.usc.edu/why/academics/cle/te/,https://gould.usc.edu/why/academics/cle/te/,https://gould.usc.edu/why/academics/cle/te/assets/docs/TEBrochure.pdf,https://www.linkedin.com/showcase/uscgouldcle/,,Westin Bonaventure Hotel,Los Angeles,CA,USA,$509.00,,,wwiley@law.usc.edu,Wendy Wiley Willett,,,,,
Lexpert Rising Stars Awards,['Promoter'],"['In-House', 'Law firms', 'Operators']","['Attend (member)', 'Attend (non-member)', 'Sponsor']",500-1000 people,11/23/2023,11/23/2023,https://risingstarscanada.com/,https://risingstarscanada.com/contact-us/,,https://www.linkedin.com/company/lexpert/,,"Liberty Grand, Toronto",Toronto,ON,Canada,$565.00,,,jed.manalili@keymedia.com,Jed Manalili,,https://risingstarscanada.com/sponsors/,Lexpert Canadian Lawyer Inhouse Canadian Lawyer Law Times Key Media Blakes LEAP,,
National Association of Consumer Bankruptcy Attorneys Member-Only Workshop,['Practice Assn'],['Law firms'],"['Sponsor', 'Exhibit']",1000-5000 people,11/27/2023,11/29/2023,https://nacba.org/events/EventDetails.aspx?id=1535310&group=,,https://nacba.org/resource/resmgr/events/nacbatn/Sponsor_Exhibitor_Prospectus.pdf,https://www.linkedin.com/company/national-association-of-consumer-bankruptcy-attorneys-nacba-/,,Loews Vanderbilt Hotel,Nashville,TN,USA,,,09/08/2023,rachael.hodgen@nacba.com,Rachael Hodgen,,,,,
Legalex London,['Promoter'],"['In-House', 'Law firms', 'Operators']","['Attend (non-member)', 'Expo pass', 'Sponsor', 'Exhibit']",1000-5000 people,11/29/2023,11/30/2023,https://www.legalex.co.uk/,https://www.legalex.co.uk/why-exhibit,,https://www.linkedin.com/company/legalexllc/,,Excel London,London,,England,$0.00,,,,,,https://www.legalex.co.uk/exhibitor-list,Solicitors Regulation Authority Clio Leap IASME Consortium Lockton AccessLegal OneTrust AplyiD High Court Engorcement Group icasa Philips The Law Factor LLP Thirdfort Lawyer Monthly By Lawyers Legal 230,,
International Intellectual Property Law Association USA,"['Bar Assn', 'Practice Assn']","['Law firms', 'In-House']","['Attend (non-member)', 'Sponsor', 'Exhibit']",500-1000 people,12/02/2023,12/03/2023,https://iipla.org/usa-2023/,https://iipla.org/events/sponsors-exhibitors/,,https://www.linkedin.com/company/iipla/,,"Crowne Plaza Hotel, Palo Alto CA",Pala Alto,CA,USA,$899.00,,07/22/2023,mail@iipla.org,,,https://iipla.org/usa-2023/,Morgan Lewis IP Sheridan Ross 2SPL Marvell Foreo Sweden Airbus Stellar Kent Blue Peak Law Group LLP DCM Shriram Trimark Stout Buchalter Life Tech IP Spies & Behrndt Nidec Garcia Rainey Blank & Bowebank LLP,,
Financial Times Innovative Lawyer Awards North America,['Promoter'],"['Law firms', 'In-House', 'Operators', 'Marketers']","['Attend (non-member)', 'Sponsor']",100-500 people,12/04/2023,12/04/2023,https://lawyersnorthamerica.live.ft.com/,https://lawyersnorthamerica.live.ft.com/page/2412147/become-a-sponsor,,https://www.linkedin.com/company/financial-times/,,Gotham Hall,New York,NY,USA,"$1,749.00",,,alex.roszkowski@ft.com,Alex Roszkowski,,,Integra iManage Ironclad Thomson Reuters,,
TLTF Summit,['Promoter'],"['In-House', 'Law firms', 'Operators']","['Attend (non-member)', 'Sponsor']",100-500 people,12/04/2023,12/06/2023,https://www.tltfsummit.com/,https://www.tltfsummit.com/sponsors,,https://www.linkedin.com/company/tltfsummit/,,JW Marriott Miami Turnbury Resort & Spa,Aventura,FL,USA,,,,info@tltfsummit.com,,,,,,
Institute for Corporate Counsel | USC Gould Institute of Law,['Promoter'],['In-House'],"['Attend (non-member)', 'Sponsor']",500-1000 people,12/06/2023,12/06/2023,https://gould.usc.edu/why/academics/cle/icc/,https://gould.usc.edu/why/academics/cle/icc/,,https://www.linkedin.com/showcase/uscgouldcle/,,The California Club,Los Angeles,CA,USA,$509.00,,,wwiley@law.usc.edu,Wendy Wiley Willett,,,,,
Masters Conference - Charlotte,['Promoter'],['Law firms'],"['Attend (non-member)', 'Sponsor', 'Exhibit']",100-500 people,12/07/2023,12/07/2023,https://themastersconference.com/event/charlotte-nc/,https://themastersconference.com/sponsors/become-a-sponsor/,https://themastersconference.com/wp-content/uploads/2022/11/2023-The-Masters-Conference-Sponsorship-Brochure.pdf,https://www.linkedin.com/company/the-masters-conference/,,Robinson Bradshaw,Charlotte,NC,USA,$185.00,$580.00,,Marla.Mohr@themastersconference.com,Marla Mohr,,https://themastersconference.com/sponsors/,eDiscovery Today eDiscovery Assistant ACEDS Robinson Bradshaw,,
American Association of Law Schools Annual Meeting,['Trade Group'],['In-House'],"['Attend (member)', 'Attend (non-member)', 'Sponsor', 'Exhibit']",1000-5000 people,01/03/2024,01/06/2024,https://am.aals.org/,https://am.aals.org/past/am23/sponsor/,,https://www.linkedin.com/company/theaals/,,Marriott Marquis Washington DC,Washington,DC,USA,,,,mkerwin@aals.org,Mary Dillon Kerwin,,,,,
New York State Bar Association Annual Meeting,['Bar Assn'],"['In-House', 'Law firms', 'Operators']","['Attend (member)', 'Attend (non-member)', 'Sponsor', 'Exhibit']",>5000 people,01/16/2024,01/20/2024,https://nysba.org/annual-meeting-2024/,,,https://www.linkedin.com/company/new-york-state-bar-association/,,TBA,New York City,NY,USA,,,,,,,,,,
ContractsCon,['Promoter'],"['In-House', 'Law firms']","['Attend (non-member)', 'Sponsor']",500-1000 people,01/17/2024,01/19/2024,https://www.contractscon.com/,https://www.contractscon.com/,,https://www.linkedin.com/company/howtocontractllc/,,University of Nevada,Las Vegas,NV,USA,"$2,495.00","$2,995.00",09/15/2023,support@howtocontract.com,,,,,,
South Carolina State Bar Convention,['Bar Assn'],"['In-House', 'Law firms', 'Operators']",['Sponsor'],1000-5000 people,01/18/2024,01/21/2024,https://www.scbarconvention.org/,https://cle.scbar.org/Seminars/Sponsor-Vendor-Opportunities,,https://www.linkedin.com/company/scbar/,,"Charleston Place Hotel, Charleston SC",Charleston,SC,USA,,,,marley.douglas@scbar.org,Marley Douglas,,,,,
